,index,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college,cf_dept_or_job_dissatisfaction
42,42,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,3 to 4 Years,2010,TAFE,False
43,43,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE,False
44,44,False,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,11 to 20 Years,2010,TAFE,False
45,45,True,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,11 to 20 Years,2010,TAFE,False
46,46,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2010,TAFE,False
47,47,True,False,False,True,False,False,False,False,False,True,False,False,Male,31–35,Under 1 Year,2010,TAFE,True
48,48,False,False,True,False,True,False,False,False,False,False,True,False,Female,31–35,7 to 10 Years,2010,TAFE,True
49,49,True,False,False,False,False,False,False,False,True,True,False,False,Male,56+,3 to 4 Years,2010,TAFE,False
50,50,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
51,51,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
52,52,True,False,False,False,True,False,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE,True
53,53,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
54,54,False,False,False,True,False,False,True,False,False,False,False,False,Male,,,2010,TAFE,True
55,55,True,False,False,False,False,False,False,False,False,True,True,True,Female,31–35,Under 1 Year,2010,TAFE,False
56,56,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE,False
57,57,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE,False
58,58,False,False,False,False,True,False,False,False,False,True,False,False,Female,56+,3 to 4 Years,2010,TAFE,True
59,59,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
60,60,False,False,False,False,False,False,True,True,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE,False
61,61,False,False,False,False,False,False,False,True,True,True,True,True,Male,26–30,3 to 4 Years,2009,TAFE,False
62,62,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,11 to 20 Years,2009,TAFE,False
63,63,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,3 to 4 Years,2009,TAFE,False
64,64,False,False,False,True,False,True,False,False,False,False,False,False,Male,46–50,11 to 20 Years,2010,TAFE,True
65,65,False,False,False,True,False,False,True,True,True,False,True,True,Female,21–25,Under 1 Year,2010,TAFE,True
66,66,False,False,True,False,False,False,False,True,False,False,True,True,Female,31–35,1 to 2 Years,2010,TAFE,False
67,67,False,False,False,False,False,False,False,True,False,False,True,False,Female,31–35,Under 1 Year,2010,TAFE,False
68,68,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
69,69,True,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,3 to 4 Years,2010,TAFE,False
70,70,False,False,False,False,True,False,False,False,False,True,False,False,Female,51-55,3 to 4 Years,2010,TAFE,True
71,71,False,False,False,True,False,False,False,False,False,False,False,False,Female,36–40,7 to 10 Years,2010,TAFE,True
72,72,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years,2010,TAFE,False
73,73,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year,2010,TAFE,False
74,74,False,False,False,False,True,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE,True
75,75,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
76,76,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2010,TAFE,False
77,77,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2010,TAFE,False
78,78,False,True,False,False,False,False,False,False,False,False,False,False,Female,31–35,1 to 2 Years,2010,TAFE,False
79,79,False,False,False,False,True,False,False,False,False,False,False,False,Male,41–45,Under 1 Year,2010,TAFE,True
80,80,False,False,False,False,False,False,True,False,False,False,False,False,Female,46–50,7 to 10 Years,2010,TAFE,False
81,81,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,5 to 6 Years,2010,TAFE,False
82,82,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,5 to 6 Years,2010,TAFE,False
83,83,False,False,False,False,False,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE,False
84,84,False,False,True,False,False,False,False,False,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE,False
85,85,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,7 to 10 Years,2010,TAFE,False
86,86,True,True,False,True,True,True,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE,True
87,87,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
88,88,True,False,False,False,False,False,False,True,False,False,False,True,Female,31–35,Under 1 Year,2010,TAFE,False
89,89,False,False,False,False,False,False,False,False,False,False,False,True,Female,41–45,Under 1 Year,2010,TAFE,False
90,90,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE,False
91,91,True,True,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
92,92,False,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years,2010,TAFE,False
93,93,True,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE,False
94,94,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
95,95,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,Under 1 Year,2010,TAFE,False
96,96,True,False,False,False,True,False,True,False,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE,True
97,97,False,False,False,True,True,True,False,False,False,False,False,False,Male,,,2011,TAFE,True
98,98,False,False,False,False,True,False,False,False,False,False,True,True,Male,21–25,1 to 2 Years,2010,TAFE,True
99,99,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE,False
100,100,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE,True
101,101,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE,True
102,102,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE,True
103,103,False,False,True,True,True,True,False,False,False,False,False,False,Female,36–40,Under 1 Year,2010,TAFE,True
104,104,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2011,TAFE,False
105,105,True,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2010,TAFE,False
106,106,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,1 to 2 Years,2010,TAFE,False
107,107,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2010,TAFE,False
108,108,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2010,TAFE,False
109,109,False,False,False,False,False,False,True,False,False,False,True,True,Female,26–30,Under 1 Year,2011,TAFE,False
110,110,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
111,111,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
112,112,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
113,113,False,False,False,True,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,True
114,114,True,False,False,False,True,False,False,False,False,False,True,False,Female,26–30,7 to 10 Years,2011,TAFE,True
115,115,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,Under 1 Year,2011,TAFE,False
116,116,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE,False
117,117,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,Under 1 Year,2011,TAFE,False
118,118,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,11 to 20 Years,2011,TAFE,False
119,119,False,False,False,False,False,False,True,True,False,False,False,False,Female,31–35,Under 1 Year,2011,TAFE,False
120,120,False,False,False,False,False,False,False,False,False,True,True,True,Female,36–40,1 to 2 Years,2011,TAFE,False
121,121,True,False,True,False,False,False,False,False,False,False,False,False,Male,46–50,3 to 4 Years,2011,TAFE,False
122,122,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE,False
123,123,False,False,True,False,False,False,False,True,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE,False
124,124,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE,True
125,125,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE,True
126,126,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE,True
127,127,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,7 to 10 Years,2011,TAFE,False
128,128,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years,2011,TAFE,False
129,129,True,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE,False
130,130,False,False,True,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
131,131,False,True,False,False,False,False,True,True,True,False,True,True,Female,41–45,1 to 2 Years,2011,TAFE,False
132,132,False,True,False,False,False,False,False,True,True,False,False,True,Female,51-55,Under 1 Year,2011,TAFE,False
133,133,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,3 to 4 Years,2011,TAFE,False
134,134,False,False,False,True,True,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2011,TAFE,True
135,135,False,False,False,True,False,False,False,False,False,False,False,False,Male,,,2011,TAFE,True
136,136,True,False,False,False,False,False,False,True,False,True,True,True,Male,46–50,5 to 6 Years,2011,TAFE,False
137,137,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years,2011,TAFE,False
138,138,True,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE,False
139,139,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2011,TAFE,False
140,140,False,False,False,False,False,False,False,False,True,True,False,False,Female,41–45,3 to 4 Years,2011,TAFE,False
141,141,False,True,False,False,False,True,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE,False
142,142,False,False,False,False,False,False,False,False,False,True,False,False,Female,31–35,Under 1 Year,2011,TAFE,False
143,143,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE,True
144,144,False,False,False,True,False,True,False,False,False,False,False,False,Male,,,2011,TAFE,True
145,145,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,1 to 2 Years,2011,TAFE,False
146,146,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,Under 1 Year,2011,TAFE,False
147,147,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE,False
148,148,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2011,TAFE,False
149,149,False,False,False,False,False,False,True,False,True,False,False,True,Female,51-55,Under 1 Year,2011,TAFE,False
150,150,True,False,False,False,False,False,False,False,False,False,False,True,Female,36–40,3 to 4 Years,2011,TAFE,False
151,151,False,False,False,False,False,False,True,False,False,False,False,True,Male,56+,Under 1 Year,2011,TAFE,False
152,152,True,False,False,False,False,False,False,False,True,True,True,True,Female,21–25,Under 1 Year,2011,TAFE,False
153,153,False,False,False,False,False,False,False,True,True,True,False,True,Male,18-20,Under 1 Year,2011,TAFE,False
154,154,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,Under 1 Year,2011,TAFE,False
155,155,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE,True
156,156,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
157,157,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE,True
158,158,False,True,True,False,False,False,False,False,False,False,False,True,Female,56+,7 to 10 Years,2011,TAFE,False
159,159,False,False,False,True,False,False,False,False,False,False,False,False,Female,21–25,Under 1 Year,2011,TAFE,True
160,160,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE,False
161,161,False,False,False,False,False,False,True,False,False,False,True,True,Female,18-20,Under 1 Year,2011,TAFE,False
162,162,False,False,False,False,False,False,False,False,False,True,True,True,Female,21–25,1 to 2 Years,2011,TAFE,False
163,163,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE,False
164,164,False,False,False,True,True,True,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE,True
165,165,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2011,TAFE,False
166,166,False,False,False,True,True,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE,True
167,167,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,5 to 6 Years,2011,TAFE,False
168,168,False,False,False,False,False,False,True,True,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE,False
169,169,False,False,False,True,True,False,False,False,False,False,False,False,Female,,,2011,TAFE,True
170,170,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,1 to 2 Years,2011,TAFE,False
171,171,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,Under 1 Year,2011,TAFE,False
172,172,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,1 to 2 Years,2011,TAFE,False
173,173,False,False,False,False,True,False,False,False,False,False,False,False,Male,,,2011,TAFE,True
174,174,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years,2011,TAFE,False
175,175,False,False,False,False,False,False,False,True,True,True,True,False,Male,21–25,1 to 2 Years,2011,TAFE,False
176,176,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE,False
177,177,False,False,False,False,False,False,False,True,True,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE,False
178,178,False,False,False,False,False,False,True,False,False,True,True,True,Female,21–25,5 to 6 Years,2011,TAFE,False
179,179,False,False,False,False,False,False,True,False,False,False,False,False,Female,31–35,3 to 4 Years,2011,TAFE,False
180,180,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years,2011,TAFE,True
181,181,False,False,False,True,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2011,TAFE,True
182,182,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,3 to 4 Years,2011,TAFE,False
183,183,False,False,False,False,True,True,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE,True
184,184,False,False,False,True,True,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years,2011,TAFE,True
185,185,True,False,False,True,True,False,False,False,False,True,False,False,Male,46–50,1 to 2 Years,2011,TAFE,True
186,186,True,False,False,False,False,False,False,True,True,False,True,True,Male,46–50,1 to 2 Years,2011,TAFE,False
187,187,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE,False
188,188,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE,False
189,189,False,False,True,False,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE,False
190,190,False,False,False,False,False,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE,False
191,191,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE,False
192,192,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE,False
193,193,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,5 to 6 Years,2011,TAFE,False
194,194,False,False,False,False,True,False,False,False,False,True,False,False,Male,26–30,Under 1 Year,2011,TAFE,True
195,195,False,False,True,False,True,False,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE,True
196,196,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE,False
197,197,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,3 to 4 Years,2011,TAFE,False
198,198,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
199,199,False,False,False,False,False,False,False,False,False,True,False,True,Female,26–30,1 to 2 Years,2011,TAFE,False
200,200,False,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,Under 1 Year,2011,TAFE,False
201,201,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE,False
202,202,False,True,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE,False
203,203,False,False,False,False,True,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE,True
204,204,False,False,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE,True
205,205,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
206,206,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE,False
207,207,False,False,False,False,False,False,True,True,False,True,True,False,Female,31–35,1 to 2 Years,2011,TAFE,False
208,208,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE,True
209,209,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE,False
210,210,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2011,TAFE,False
211,211,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE,False
212,212,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE,False
213,213,False,False,False,False,False,False,False,False,False,True,True,False,Female,18-20,Under 1 Year,2011,TAFE,False
214,214,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE,False
215,215,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2011,TAFE,False
216,216,False,False,False,False,False,False,True,False,False,False,False,False,Female,,,2011,TAFE,False
217,217,False,False,False,False,False,False,True,False,False,True,False,True,Female,21–25,1 to 2 Years,2011,TAFE,False
218,218,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE,False
219,219,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE,False
220,220,True,False,False,False,True,False,False,False,False,True,True,False,Female,26–30,1 to 2 Years,2011,TAFE,True
221,221,False,False,False,True,True,False,False,False,False,False,False,False,Female,41–45,11 to 20 Years,2011,TAFE,True
222,222,False,False,False,False,False,False,False,True,True,False,False,True,Female,56+,3 to 4 Years,2012,TAFE,False
223,223,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2011,TAFE,False
224,224,False,False,True,False,False,False,True,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE,False
225,225,False,False,False,False,False,False,True,False,False,False,False,True,Female,56+,3 to 4 Years,2011,TAFE,False
226,226,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE,False
227,227,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,3 to 4 Years,2011,TAFE,False
228,228,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE,False
229,229,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE,False
230,230,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
231,231,False,False,False,False,False,False,False,False,False,True,False,False,Male,31–35,1 to 2 Years,2011,TAFE,False
232,232,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE,False
233,233,False,False,False,False,False,False,False,False,True,False,True,True,Female,18-20,Under 1 Year,2011,TAFE,False
234,234,False,False,False,False,True,False,False,False,False,False,False,False,Female,,,2010,TAFE,True
235,235,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years,2011,TAFE,False
236,236,False,False,False,False,False,False,False,True,True,True,False,True,Female,51-55,Under 1 Year,2011,TAFE,False
237,237,False,False,False,True,True,True,False,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE,True
238,238,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,11 to 20 Years,2011,TAFE,False
239,239,False,False,False,False,False,False,False,False,True,False,True,True,Female,46–50,Under 1 Year,2011,TAFE,False
240,240,False,False,True,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE,False
241,241,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years,2011,TAFE,True
242,242,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,Under 1 Year,2011,TAFE,False
243,243,False,False,False,False,False,False,True,False,False,False,False,False,Female,,,2011,TAFE,False
244,244,False,False,False,False,False,False,False,False,False,True,False,False,Female,18-20,Under 1 Year,2011,TAFE,False
245,245,True,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE,False
246,246,False,False,False,False,False,True,False,False,False,False,False,False,Female,18-20,1 to 2 Years,2011,TAFE,False
247,247,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,5 to 6 Years,2011,TAFE,False
248,248,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,3 to 4 Years,2011,TAFE,False
249,249,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,1 to 2 Years,2011,TAFE,False
250,250,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,7 to 10 Years,2011,TAFE,False
251,251,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE,False
252,252,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year,2011,TAFE,False
253,253,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE,False
254,254,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years,2011,TAFE,False
255,255,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE,False
256,256,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,1 to 2 Years,2011,TAFE,False
257,257,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
258,258,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE,False
259,259,False,False,False,False,False,True,False,False,False,False,False,False,Female,36–40,5 to 6 Years,2011,TAFE,False
260,260,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years,2011,TAFE,True
261,261,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE,False
262,262,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE,False
263,263,False,False,False,False,False,False,True,False,False,False,False,False,Male,36–40,3 to 4 Years,2011,TAFE,False
264,264,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2012,TAFE,False
265,265,False,False,False,False,False,False,False,True,False,False,True,False,Female,51-55,3 to 4 Years,2011,TAFE,False
