,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years
70,71,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56-60,Secondary,37.0
71,72,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,1.0
72,73,teaching_role,Age Retirement,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56-60,,
73,74,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,AO5-AO7,1.0
74,75,teaching_role,Age Retirement,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,56-60,Primary,37.0
75,76,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,A01-A04,0.0
76,77,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56-60,Primary,2.0
77,78,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,AO5-AO7,5.0
78,79,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,AO5-AO7,0.0
79,80,non_teaching_role,Termination,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,AO5-AO7,1.0
80,81,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,AO5-AO7,8.0
81,82,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,1.0
82,83,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,True,False,True,False,False,False,False,Female,51-55,,2.0
83,84,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,A01-A04,0.0
84,85,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,AO5-AO7,2.0
85,86,teaching_role,Age Retirement,False,False,False,False,True,False,False,False,True,False,True,False,False,Male,56-60,,37.0
86,87,non_teaching_role,Termination,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,A01-A04,1.0
87,88,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,Secondary,5.0
88,89,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46-50,AO5-AO7,1.0
89,90,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56-60,Primary,38.0
90,91,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,26.0
91,92,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Male,56-60,Primary,34.0
92,93,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,4.0
93,94,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,41-45,Secondary,10.0
94,95,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,Primary,36.0
95,96,teaching_role,Age Retirement,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,Primary,4.0
96,97,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56-60,Primary,4.0
97,98,NaN,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,,16.0
98,99,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,8.0
99,100,teaching_role,Resignation-Move overseas/interstate,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,31-35,Secondary,1.0
100,101,teaching_role,Resignation-Other reasons,False,False,False,False,True,True,False,False,False,False,False,True,False,Female,36-40,,4.0
101,102,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Primary,11.0
102,103,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Primary,5.0
103,104,NaN,Resignation-Other reasons,False,False,False,False,True,True,False,False,True,False,False,False,False,Female,51-55,,4.0
104,105,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,33.0
105,106,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56-60,,12.0
106,107,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,46-50,,
107,108,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56-60,Special Education,10.0
108,109,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,3.0
109,110,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,A01-A04,
110,111,teaching_role,Ill Health Retirement,False,False,True,False,False,True,False,False,False,False,False,True,False,Female,61 or older,Primary,16.0
111,112,teaching_role,Resignation-Other reasons,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,Special Education,8.0
112,113,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,5.0
113,114,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,,3.0
114,115,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,,8.0
115,116,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,Secondary,
116,117,NaN,Resignation-Other reasons,False,False,False,False,True,False,True,False,True,False,False,False,False,Male,56-60,,36.0
117,118,teaching_role,Ill Health Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56-60,,26.0
118,119,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,Secondary,2.0
119,120,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,AO5-AO7,1.0
120,121,non_teaching_role,Termination,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,26-30,AO5-AO7,3.0
121,122,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,A01-A04,
122,123,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,Secondary,33.0
123,124,non_teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,
124,125,non_teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,A01-A04,0.0
125,126,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,21.0
126,127,teaching_role,Resignation-Other reasons,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,Secondary,23.0
127,128,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,Primary,24.0
128,129,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,,11.0
129,130,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,16.0
130,131,non_teaching_role,Resignation-Other employer,True,False,False,False,False,True,False,False,False,True,False,False,False,Male,51-55,AO5-AO7,0.0
131,132,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,20.0
132,133,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,,2.0
133,134,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,
134,135,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,,24.0
135,136,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,18.0
136,137,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56-60,,
137,138,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,11.0
138,139,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,7.0
139,140,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56-60,Secondary,17.0
140,141,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,
141,142,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,True,True,False,Male,56-60,Primary,
142,143,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,4.0
143,144,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,
144,145,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,Primary,30.0
145,146,non_teaching_role,Resignation-Other reasons,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,5.0
146,147,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,Primary,
147,148,non_teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,A01-A04,9.0
148,149,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,15.0
149,150,non_teaching_role,Other,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,26-30,A01-A04,4.0
150,151,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,A01-A04,3.0
151,152,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,61 or older,,
152,153,non_teaching_role,Other,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,36-40,AO5-AO7,0.0
153,154,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,AO5-AO7,4.0
154,155,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,True,False,False,False,Male,61 or older,AO5-AO7,7.0
155,156,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,True,False,False,False,Female,21-25,A01-A04,2.0
156,157,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,,2.0
157,158,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,AO5-AO7,1.0
158,159,non_teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,A01-A04,1.0
159,160,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,Primary,42.0
160,161,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,,9.0
161,162,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,AO5-AO7,8.0
162,163,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,A01-A04,4.0
163,164,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,PO1-PO4,10.0
164,165,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,,3.0
165,166,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,AO5-AO7,4.0
166,167,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,AO5-AO7,7.0
167,168,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,AO5-AO7,2.0
168,169,non_teaching_role,Other,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,61 or older,AO5-AO7,4.0
169,170,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56-60,Secondary,
170,171,non_teaching_role,Other,False,False,False,False,False,True,True,False,False,False,True,True,False,Female,46-50,AO8 and Above,3.0
171,172,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,True,False,False,False,False,Male,46-50,PO1-PO4,20.0
172,173,non_teaching_role,Other,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,A01-A04,4.0
173,174,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,AO8 and Above,5.0
174,175,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,A01-A04,5.0
175,176,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,True,False,False,False,False,False,True,False,False,False,Female,26-30,A01-A04,5.0
176,177,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,,26-30,A01-A04,3.0
177,178,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,0.0
178,179,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,True,False,False,False,False,True,False,False,False,Male,41-45,A01-A04,1.0
179,180,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,,0.0
180,181,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,0.0
181,182,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,A01-A04,1.0
182,183,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,PO1-PO4,2.0
183,184,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,,14.0
184,185,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,A01-A04,6.0
185,186,non_teaching_role,Resignation-Other reasons,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,,7.0
186,187,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,AO5-AO7,5.0
187,188,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,3.0
188,189,non_teaching_role,Other,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,3.0
189,190,non_teaching_role,Resignation-Other employer,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,41-45,AO8 and Above,5.0
190,191,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,True,False,False,False,False,Female,56-60,AO5-AO7,8.0
191,192,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,A01-A04,3.0
192,193,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,,11.0
193,194,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,AO8 and Above,0.0
194,195,teaching_role,Age Retirement,False,False,False,True,False,False,False,False,False,False,True,True,False,Female,61 or older,Primary,29.0
195,196,non_teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,2.0
196,197,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,,
197,198,non_teaching_role,Resignation-Other employer,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,31-35,A01-A04,7.0
198,199,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,Primary,17.0
199,200,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,6.0
200,201,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,AO8 and Above,2.0
201,202,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,,
202,203,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,,9.0
203,204,non_teaching_role,Other,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,17.0
204,205,non_teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,A01-A04,2.0
205,206,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,,6.0
206,207,non_teaching_role,Termination,False,False,False,False,False,True,False,False,True,True,False,False,False,Male,51-55,AO5-AO7,7.0
207,208,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56-60,Special Education,
208,209,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,19.0
209,210,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,Primary,10.0
210,211,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,PO1-PO4,5.0
211,212,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,,26.0
212,213,teaching_role,Resignation-Other reasons,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,61 or older,Secondary,15.0
213,214,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,,
214,215,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,1.0
215,216,non_teaching_role,Termination,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,AO8 and Above,2.0
216,217,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,True,True,False,Female,51-55,Primary,34.0
217,218,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,Secondary,18.0
218,219,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,51-55,Special Education,13.0
219,220,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,61 or older,Primary,13.0
220,221,non_teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56-60,,2.0
221,222,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Primary,24.0
222,223,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,AO5-AO7,1.0
223,224,teaching_role,Resignation-Other reasons,False,False,False,False,True,False,True,False,False,True,False,False,False,,51-55,Primary,6.0
224,225,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36-40,Secondary,3.0
225,226,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,15.0
