,ID,SeparationType,Cease Date,Position,Classification,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Maternity/family,Ill Health,Work life balance,Workload,None of the above,Gender,Age,service_length
22,23,Resignation-Other reasons,2012,School Administrative Staff,,False,False,False,False,True,False,True,False,False,False,True,False,False,Female,46-50,14.0
23,24,Resignation-Other reasons,2012,Teacher,Primary,False,False,False,True,False,False,False,False,True,False,True,False,False,Female,61 or older,0.0
24,25,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,31.0
25,26,Resignation-Other reasons,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,10.0
26,27,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,35.0
27,28,Resignation-Other employer,2012,Public Servant,AO5-AO7,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,1.0
28,29,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,23.0
29,30,Age Retirement,2012,Teacher,Special Education,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,9.0
30,31,Age Retirement,2012,Teacher,Primary,False,False,False,True,True,False,False,False,False,True,False,False,False,Female,56-60,23.0
31,32,Age Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,34.0
32,33,Age Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,True,False,False,False,False,False,False,True,True,False,False,Male,56-60,20.0
33,34,Resignation-Other reasons,2012,Teacher,Secondary,False,False,True,False,False,False,True,False,False,False,False,False,False,Male,36-40,9.0
34,35,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,3.0
35,36,Ill Health Retirement,2012,Teacher,Special Education,False,False,False,False,True,False,False,False,False,True,False,False,False,Female,51-55,12.0
36,37,Age Retirement,2012,Schools Officer,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,15.0
37,38,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,1.0
38,39,Other,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,14.0
39,40,Resignation-Move overseas/interstate,2012,Teacher,,False,False,False,True,False,False,True,False,False,False,True,False,False,Female,21-25,
40,41,Resignation-Other employer,2012,Teacher,Primary,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,32.0
41,42,Resignation-Other reasons,2012,Head of Curriculum/Head of Special Education,,False,False,True,False,False,False,False,False,False,False,True,False,False,Female,51-55,18.0
42,43,Resignation-Move overseas/interstate,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,1.0
43,44,Resignation-Other reasons,2012,Teacher,Primary,False,False,False,True,False,False,False,False,False,False,True,True,False,Male,51-55,36.0
44,45,Age Retirement,2012,Teacher,Primary,False,True,False,False,True,False,False,False,False,False,False,True,False,Female,51-55,21.0
45,46,Voluntary Early Retirement (VER),2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,True,True,False,Female,46-50,11.0
46,47,Voluntary Early Retirement (VER),2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,4.0
47,48,Age Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,19.0
48,49,Resignation-Move overseas/interstate,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,2.0
49,50,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,5.0
50,51,Resignation-Move overseas/interstate,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,2.0
51,52,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,19.0
52,53,Other,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,29.0
53,54,Ill Health Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,
54,55,Age Retirement,2012,Teacher,Special Education,False,False,False,True,False,False,True,False,False,True,False,False,False,Female,56-60,4.0
55,56,Resignation-Other employer,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,4.0
56,57,Age Retirement,2012,Teacher Aide,,False,False,False,True,False,False,False,False,False,False,True,False,False,Female,61 or older,22.0
57,58,Resignation-Other employer,2012,Teacher,Secondary,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,0.0
58,59,Ill Health Retirement,2012,Teacher,Primary,False,False,False,True,False,False,False,False,False,True,False,True,False,Female,51-55,0.0
59,60,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,False,True,,61 or older,
60,61,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,46-50,25.0
61,62,Resignation-Other reasons,2012,Schools Officer,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1.0
62,63,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,22.0
63,64,Ill Health Retirement,2012,Schools Officer,,False,False,False,False,False,True,False,False,False,True,False,True,False,Male,56-60,23.0
64,65,Age Retirement,2012,Teacher,Primary,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,61 or older,27.0
65,66,Age Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,27.0
66,67,Other,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,5.0
67,68,Other,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,
68,69,Age Retirement,2012,Teacher,Primary,False,False,False,True,False,False,True,False,False,False,False,False,False,,61 or older,6.0
69,70,Resignation-Other reasons,2012,Public Servant,AO5-AO7,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,
70,71,Age Retirement,2012,Teacher,Secondary,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56-60,37.0
71,72,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,1.0
72,73,Age Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,
73,74,Contract Expired,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,1.0
74,75,Age Retirement,2012,Teacher,Primary,False,False,False,False,True,False,False,False,False,False,True,False,False,Female,56-60,37.0
75,76,Contract Expired,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,0.0
76,77,Ill Health Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,2.0
77,78,Termination,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,5.0
78,79,Contract Expired,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,0.0
79,80,Termination,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,1.0
80,81,Contract Expired,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,8.0
81,82,Contract Expired,2012,Technical Officer,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,1.0
82,83,Voluntary Early Retirement (VER),2012,Deputy Principal,,False,False,True,True,False,False,True,False,False,False,False,False,False,Female,51-55,2.0
83,84,Contract Expired,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,0.0
84,85,Termination,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,2.0
85,86,Age Retirement,2012,School Principal,,False,False,False,False,True,False,True,False,False,False,False,True,False,Male,56-60,37.0
86,87,Termination,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,1.0
87,88,Resignation-Move overseas/interstate,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5.0
88,89,Termination,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,46-50,1.0
89,90,Age Retirement,2013,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,True,False,False,Female,56-60,38.0
90,91,Resignation-Other employer,2012,Teacher Aide,,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,26.0
91,92,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,True,False,False,Male,56-60,34.0
92,93,Age Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,4.0
93,94,Resignation-Move overseas/interstate,2012,Teacher,Secondary,False,False,False,True,False,False,True,False,False,False,True,False,False,Female,41-45,10.0
94,95,Voluntary Early Retirement (VER),2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,36.0
95,96,Age Retirement,2012,Teacher,Primary,False,False,False,True,True,False,False,False,False,False,False,False,False,Male,51-55,4.0
96,97,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56-60,4.0
97,98,Age Retirement,2012,,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,16.0
98,99,Age Retirement,2012,Schools Officer,,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,8.0
99,100,Resignation-Move overseas/interstate,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,True,False,True,False,False,Male,31-35,1.0
100,101,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,True,True,False,False,False,False,False,True,False,False,Female,36-40,4.0
101,102,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,11.0
102,103,Resignation-Other reasons,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,5.0
103,104,Resignation-Other reasons,2012,,,False,False,False,True,True,False,True,False,False,False,False,False,False,Female,51-55,4.0
104,105,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,33.0
105,106,Age Retirement,2012,Teacher Aide,,False,False,False,True,False,False,False,False,False,False,True,False,False,Female,56-60,12.0
106,107,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,46-50,
107,108,Ill Health Retirement,2012,Teacher,Special Education,False,False,False,False,False,False,False,False,False,True,True,False,False,Female,56-60,10.0
108,109,Resignation-Other reasons,2012,Technical Officer,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3.0
109,110,Age Retirement,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,
110,111,Ill Health Retirement,2012,Teacher,Primary,False,False,False,True,False,False,False,False,False,True,True,False,False,Female,61 or older,16.0
111,112,Resignation-Other reasons,2012,Teacher,Special Education,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,8.0
112,113,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56-60,5.0
113,114,Age Retirement,2012,Schools Officer,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,3.0
114,115,Resignation-Move overseas/interstate,2012,Guidance Officer,,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,8.0
115,116,Age Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,
116,117,Resignation-Other reasons,2012,,,False,False,True,False,True,False,True,False,False,False,False,False,False,Male,56-60,36.0
117,118,Ill Health Retirement,2012,Teacher Aide,,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56-60,26.0
118,119,Resignation-Other employer,2012,Teacher,Secondary,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,2.0
119,120,Contract Expired,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,1.0
120,121,Termination,2012,Public Servant,AO5-AO7,False,False,False,True,False,False,True,False,False,False,False,False,False,Female,26-30,3.0
121,122,Contract Expired,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,
122,123,Age Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,33.0
123,124,Ill Health Retirement,2012,Schools Officer,,False,False,False,False,False,False,False,False,False,True,False,False,False,,,
124,125,Resignation-Other employer,2012,Public Servant,A01-A04,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,0.0
125,126,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,21.0
126,127,Resignation-Other reasons,2012,Teacher,Secondary,False,False,False,True,True,False,False,False,False,False,False,False,False,Male,51-55,23.0
127,128,Age Retirement,2013,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,24.0
128,129,Age Retirement,2012,Teacher,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,11.0
129,130,Voluntary Early Retirement (VER),2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,16.0
130,131,Resignation-Other employer,2012,Public Servant,AO5-AO7,True,False,False,True,False,False,False,True,False,False,False,False,False,Male,51-55,0.0
131,132,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,20.0
132,133,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,2.0
133,134,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,
134,135,Voluntary Early Retirement (VER),2012,Business Service Manager,,False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,24.0
135,136,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,18.0
136,137,Ill Health Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,
137,138,Age Retirement,2012,Teacher,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,11.0
138,139,Resignation-Other employer,2012,Teacher Aide,,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,7.0
139,140,Ill Health Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56-60,17.0
140,141,Resignation-Other employer,2012,Teacher Aide,,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,
141,142,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,True,True,False,Male,56-60,
142,143,Ill Health Retirement,2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,61 or older,4.0
143,144,Ill Health Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,61 or older,
144,145,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,30.0
145,146,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,61 or older,5.0
146,147,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,
147,148,Resignation-Other employer,2012,Public Servant,A01-A04,False,True,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,9.0
148,149,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,15.0
149,150,Other,2012,Public Servant,A01-A04,False,True,False,True,True,False,False,False,False,False,False,False,False,Female,26-30,4.0
150,151,Termination,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,3.0
151,152,Age Retirement,2012,Guidance Officer,,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,61 or older,
152,153,Other,2012,Public Servant,AO5-AO7,False,False,False,True,False,False,False,True,False,False,False,False,False,Female,36-40,0.0
153,154,Termination,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,4.0
154,155,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,7.0
155,156,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,False,False,True,False,False,False,True,False,False,False,False,False,Female,21-25,2.0
156,157,Other,2012,Technical Officer,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,2.0
157,158,Other,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,1.0
158,159,Resignation-Other employer,2012,Public Servant,A01-A04,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1.0
159,160,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,42.0
160,161,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,41-45,9.0
161,162,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,8.0
162,163,Other,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,4.0
163,164,Voluntary Early Retirement (VER),2012,Professional Officer,PO1-PO4,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,10.0
164,165,Resignation-Other employer,2012,Teacher Aide,,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,3.0
165,166,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,4.0
166,167,Other,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,7.0
167,168,Other,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,2.0
168,169,Other,2012,Public Servant,AO5-AO7,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,61 or older,4.0
169,170,Ill Health Retirement,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56-60,
170,171,Other,2012,Public Servant,AO8 and Above,False,False,True,True,False,False,False,False,False,False,True,True,False,Female,46-50,3.0
171,172,Voluntary Early Retirement (VER),2012,Professional Officer,PO1-PO4,False,False,False,True,False,False,True,False,False,False,False,False,False,Male,46-50,20.0
172,173,Other,2012,Public Servant,A01-A04,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,4.0
173,174,Other,2012,Public Servant,AO8 and Above,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,5.0
174,175,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,5.0
175,176,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,False,False,False,False,False,False,True,True,False,False,False,False,Female,26-30,5.0
176,177,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,True,False,False,False,False,False,False,False,False,False,False,False,,26-30,3.0
177,178,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,26-30,0.0
178,179,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,False,False,False,True,False,False,True,False,False,False,False,False,Male,41-45,1.0
179,180,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,0.0
180,181,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,26-30,0.0
181,182,Voluntary Early Retirement (VER),2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1.0
182,183,Other,2012,Professional Officer,PO1-PO4,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,2.0
183,184,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,14.0
184,185,Other,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,6.0
185,186,Resignation-Other reasons,2012,Cleaner,,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,31-35,7.0
186,187,Other,2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,5.0
187,188,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3.0
188,189,Other,2012,Public Servant,AO5-AO7,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3.0
189,190,Resignation-Other employer,2012,Public Servant,AO8 and Above,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,41-45,5.0
190,191,Voluntary Early Retirement (VER),2012,Public Servant,AO5-AO7,False,False,False,True,False,False,True,False,False,False,False,False,False,Female,56-60,8.0
191,192,Other,2012,Public Servant,A01-A04,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,3.0
192,193,Resignation-Other reasons,2012,Teacher Aide,,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,11.0
193,194,Voluntary Early Retirement (VER),2012,Public Servant,AO8 and Above,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,0.0
194,195,Age Retirement,2013,Teacher,Primary,False,False,False,False,False,False,False,False,True,False,True,True,False,Female,61 or older,29.0
195,196,Resignation-Other employer,2012,Technical Officer,,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,2.0
196,197,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,
197,198,Resignation-Other employer,2012,Public Servant,A01-A04,False,False,False,True,False,False,True,False,False,False,False,False,False,Female,31-35,7.0
198,199,Ill Health Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,46-50,17.0
199,200,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,6.0
200,201,Voluntary Early Retirement (VER),2012,Public Servant,AO8 and Above,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,2.0
201,202,Voluntary Early Retirement (VER),2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,
202,203,Ill Health Retirement,2012,Teacher Aide,,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,46-50,9.0
203,204,Other,2012,Other,,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,61 or older,17.0
204,205,Resignation-Other employer,2012,Public Servant,A01-A04,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,2.0
205,206,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,6.0
206,207,Termination,2012,Public Servant,AO5-AO7,False,False,False,True,False,False,True,True,False,False,False,False,False,Male,51-55,7.0
207,208,Ill Health Retirement,2012,Teacher,Special Education,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,
208,209,Age Retirement,2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,19.0
209,210,Ill Health Retirement,2012,Teacher,Primary,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,46-50,10.0
210,211,Resignation-Move overseas/interstate,2012,Professional Officer,PO1-PO4,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,5.0
211,212,Voluntary Early Retirement (VER),2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,26.0
212,213,Resignation-Other reasons,2012,Teacher,Secondary,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,61 or older,15.0
213,214,Other,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,
214,215,Resignation-Other reasons,2012,School Administrative Staff,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,1.0
215,216,Termination,2012,Public Servant,AO8 and Above,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,2.0
