,Unnamed: 0,Unnamed: 0.1,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years,cf_dept_dissatisfaction_x,cf_to_public_sector_x,cf_to_private_sector_x,cf_interpersonal_conflict_x,cf_job_dissatisfaction_x,cf_family_x,cf_health_x,cf_other_x,dept_work_environment_x,institute_recognition_x
15,15,15,634176076134409000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,True,False,Agree,Strongly Agree,Strongly Agree,True,Female,46–50,Permanent Part-time,11 to 20 Years,False,False,False,False,False,False,False,True,True,False
16,16,16,634177007457719000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
17,17,17,634177053480062000,Non-Delivery (corporate),Resignation,True,False,False,False,False,True,False,False,False,Agree,Neutral,Neutral,False,Female,31–35,Permanent Full-time,7 to 10 Years,False,True,False,False,True,False,False,False,False,False
18,18,18,634177938010971000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
19,19,19,634181972647250000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
20,20,20,634182099183434000,Non-Delivery (corporate),Resignation,False,False,False,False,True,True,False,False,False,Disagree,Neutral,Agree,False,,,,NaN,True,False,False,False,True,False,False,False,False,False
21,21,21,634183070751313000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,True,False,False,False,False,False,False,False
22,22,22,634184748867652000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,True,False,Agree,Neutral,Disagree,True,Male,26–30,Temporary Full-time,5 to 6 Years,False,True,False,False,False,False,False,True,True,False
23,23,23,634190678592028000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,Neutral,Agree,Agree,True,Female,26–30,Contract/casual,Under 1 Year,False,False,False,False,False,False,False,False,True,False
24,24,24,634190743855375000,Delivery (teaching),Resignation,False,True,False,False,False,False,False,False,False,Disagree,Disagree,Disagree,False,Female,31–35,Permanent Part-time,7 to 10 Years,False,False,True,False,False,False,False,False,False,False
25,25,25,634190913957094000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Neutral,Neutral,Neutral,False,Female,41–45,Temporary Full-time,Under 1 Year,False,False,False,False,False,False,False,False,False,False
26,26,26,634193418130687000,Non-Delivery (corporate),Resignation,False,True,False,False,True,True,False,False,False,Agree,Agree,Agree,True,,,,NaN,True,False,True,False,True,False,False,False,True,False
27,27,27,634193458894281000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Agree,Agree,Agree,True,Male,56+,Temporary Full-time,20 Plus Years,False,True,False,False,False,False,False,False,True,False
28,28,28,634195084065465000,Delivery (teaching),Retirement,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
29,29,29,634199393528500000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,True,Agree,Neutral,Neutral,False,Female,31–35,Temporary Full-time,Under 1 Year,False,False,True,False,False,False,False,False,False,True
30,30,30,634199520161313000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
31,31,31,634199595826715000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,True,Female,26–30,Temporary Full-time,Under 1 Year,False,False,False,False,False,False,False,False,True,False
32,32,32,634200229589215000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Neutral,False,Female,46–50,Temporary Part-time,Under 1 Year,False,False,True,False,False,False,False,False,False,False
33,33,33,634201137431070000,Non-Delivery (corporate),Retirement,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
34,34,34,634201997218101000,Delivery (teaching),Retirement,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Male,56+,Permanent Full-time,20 Plus Years,False,False,False,False,False,False,False,False,False,False
35,35,35,634205577322164000,Delivery (teaching),Retirement,False,False,False,False,False,False,False,False,False,Agree,Agree,Neutral,False,Female,56+,Permanent Part-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
36,36,36,634206210361383000,Non-Delivery (corporate),Resignation,True,True,False,False,False,False,False,True,False,,,,False,,,,NaN,False,True,True,False,False,False,False,True,False,False
37,37,37,634207964363344000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,Not Applicable,Not Applicable,Not Applicable,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
38,38,38,634207971987250000,Delivery (teaching),Termination,False,False,False,False,False,False,False,False,False,Not Applicable,Not Applicable,Not Applicable,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
39,39,39,634208063783969000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,True,,,,NaN,False,True,False,False,False,False,False,False,True,True
40,40,40,634208993864195000,Non-Delivery (corporate),Resignation,False,False,False,False,True,False,False,False,False,,,,False,Female,26–30,Temporary Part-time,Under 1 Year,True,False,False,False,False,False,False,False,False,False
41,41,41,634209003247164000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,False,False,Disagree,Strongly Disagree,Strongly Disagree,False,Female,36–40,Permanent Full-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
42,42,42,634209012525289000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,False,False,,,Agree,False,Male,31–35,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,False,False,False
43,43,43,634209019387633000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Disagree,Agree,Agree,False,Male,56+,Permanent Full-time,20 Plus Years,False,False,False,False,False,False,False,False,False,False
44,44,44,634209026016695000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Male,36–40,Permanent Full-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
45,45,45,634209027931539000,Delivery (teaching),Resignation,True,True,False,False,False,False,False,True,False,Agree,,,False,Male,51-55,Permanent Full-time,11 to 20 Years,False,True,True,False,False,False,False,True,False,False
46,46,46,634209037420601000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,False,Neutral,Agree,Disagree,False,Female,56+,Permanent Part-time,20 Plus Years,False,False,False,False,False,False,False,True,False,False
47,47,47,634211542757094000,Delivery (teaching),Resignation,False,True,False,False,True,False,False,False,False,Strongly Disagree,Strongly Agree,Neutral,False,Male,31–35,Permanent Full-time,Under 1 Year,True,False,True,False,False,False,False,False,False,False
48,48,48,634212412239976000,Non-Delivery (corporate),Transfer,True,False,False,True,False,True,False,False,False,Agree,Neutral,Strongly Agree,False,Female,31–35,Permanent Part-time,7 to 10 Years,False,True,False,False,True,True,False,False,False,False
49,49,49,634213196498570000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Strongly Agree,Strongly Agree,Neutral,False,Male,56+,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,False,False
50,50,50,634214004205914000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
51,51,51,634214138447945000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
52,52,52,634214156864906000,Non-Delivery (corporate),Resignation,False,True,False,False,False,True,False,False,False,Disagree,Agree,Agree,True,Female,41–45,Permanent Full-time,3 to 4 Years,False,False,True,False,True,False,False,False,True,False
53,53,53,634214849407633000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,True,False,False,False,False,False,False,False,False
54,54,54,634217422828726000,Non-Delivery (corporate),Resignation,False,False,False,False,True,False,False,True,False,,,,False,,,,NaN,True,False,False,False,False,False,False,True,False,False
55,55,55,634218492665219000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,True,Female,31–35,Temporary Full-time,Under 1 Year,False,False,True,False,False,False,False,False,True,False
56,56,56,634219251646781000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,26–30,Temporary Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,False,False
57,57,57,634219263224125000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Strongly Disagree,Agree,Neutral,False,Female,26–30,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,False,False,False
58,58,58,634219274566469000,Non-Delivery (corporate),Resignation,False,False,False,False,False,True,False,False,False,Strongly Disagree,Strongly Agree,Strongly Disagree,False,Female,56+,Permanent Full-time,3 to 4 Years,False,False,False,False,True,False,False,False,False,False
59,59,59,634219394328258000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
60,60,60,634219407445375000,Non-Delivery (corporate),Retirement,False,False,False,False,False,False,False,True,True,Strongly Agree,Agree,Agree,False,Female,56+,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,True,False,True
61,61,61,634219413623344000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,True,Male,26–30,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,False,True,True
62,62,62,634219425466156000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,False,Female,51-55,Permanent Full-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
63,63,63,634220006275757000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,True,False,Agree,Agree,Agree,False,Male,51-55,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,True,False,False
64,64,64,634220145175757000,Non-Delivery (corporate),Resignation,False,False,False,False,True,False,True,False,False,Neutral,Agree,Agree,False,Male,46–50,Permanent Full-time,11 to 20 Years,True,False,False,True,False,False,False,False,False,False
65,65,65,634221044292008000,Non-Delivery (corporate),Resignation,False,False,False,False,True,False,False,True,True,Strongly Agree,Neutral,Strongly Agree,True,Female,21–25,Permanent Full-time,Under 1 Year,True,False,False,False,False,False,False,True,True,True
66,66,66,634223513490601000,Non-Delivery (corporate),Resignation,False,False,False,True,False,False,False,False,True,Agree,Agree,Strongly Agree,True,Female,31–35,Temporary Full-time,1 to 2 Years,False,False,False,False,False,True,False,False,True,True
67,67,67,634224469051226000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,True,Agree,Agree,Strongly Agree,False,Female,31–35,Temporary Full-time,Under 1 Year,False,False,False,False,False,False,False,False,False,True
68,68,68,634225251664195000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
69,69,69,634226171903257000,Delivery (teaching),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Agree,True,Male,51-55,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,True,False
70,70,70,634227157286851000,Non-Delivery (corporate),Transfer,False,False,False,False,False,True,False,False,False,,Strongly Agree,Agree,False,Female,51-55,Permanent Full-time,3 to 4 Years,False,False,False,False,True,False,False,False,False,False
71,71,71,634227185069750000,Non-Delivery (corporate),Resignation,True,False,False,False,True,False,False,False,False,Neutral,Neutral,Neutral,False,Female,36–40,Permanent Full-time,7 to 10 Years,True,True,False,False,False,False,False,False,False,False
72,72,72,634227207368969000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,True,False,Neutral,Disagree,Disagree,False,Female,51-55,Permanent Full-time,5 to 6 Years,False,False,False,False,False,False,False,True,False,False
73,73,73,634227222513344000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,True,Female,41–45,Contract/casual,Under 1 Year,False,False,False,False,False,False,False,False,True,True
74,74,74,634231466668883000,Non-Delivery (corporate),Resignation,False,False,False,False,False,True,False,False,False,Disagree,Agree,Neutral,False,Female,18-20,Temporary Full-time,Under 1 Year,False,False,False,False,True,False,False,False,False,False
75,75,75,634232185219039000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Neutral,Agree,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
76,76,76,634235863003594000,Delivery (teaching),Transfer,True,False,False,False,False,False,False,False,False,Agree,Disagree,Strongly Disagree,False,Female,51-55,Temporary Full-time,3 to 4 Years,False,True,False,False,False,False,False,False,False,False
77,77,77,634238426001094000,Non-Delivery (corporate),Retrenchment/ Redundancy,False,False,False,False,False,False,False,False,False,Strongly Disagree,Agree,Strongly Disagree,False,Female,51-55,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,False,False,False,False
78,78,78,634239303982500000,Non-Delivery (corporate),Transfer,False,False,True,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,31–35,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,True,False,False,False
79,79,79,634241795347656000,Delivery (teaching),Resignation,False,False,False,False,False,True,False,False,False,Neutral,Agree,Neutral,False,Male,41–45,Contract/casual,Under 1 Year,False,False,False,False,True,False,False,False,False,False
80,80,80,634243628858726000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,True,False,Agree,Agree,Agree,False,Female,46–50,Permanent Full-time,7 to 10 Years,False,False,False,False,False,False,False,True,False,False
81,81,81,634243664081406000,Delivery (teaching),Resignation,False,False,False,True,False,False,False,False,False,Agree,Agree,Neutral,False,Male,41–45,Temporary Part-time,5 to 6 Years,False,False,False,False,False,True,False,False,False,False
82,82,82,634245133689063000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,True,Female,41–45,Permanent Full-time,5 to 6 Years,False,False,False,False,False,False,False,False,True,False
83,83,83,634250266309976000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,18-20,Contract/casual,Under 1 Year,False,False,False,False,False,False,False,False,False,False
84,84,84,634250409172945000,Delivery (teaching),Resignation,False,False,False,True,False,False,False,False,False,Strongly Agree,Neutral,Neutral,False,Female,56+,Contract/casual,3 to 4 Years,False,False,False,False,False,True,False,False,False,False
85,85,85,634251116016226000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Agree,Agree,Neutral,False,Female,26–30,Permanent Full-time,7 to 10 Years,False,True,False,False,False,False,False,False,False,False
86,86,86,634251290130132000,Non-Delivery (corporate),Resignation,False,True,True,False,True,True,True,False,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,True,Female,41–45,Permanent Part-time,3 to 4 Years,True,False,True,True,True,False,True,False,True,False
87,87,87,634257448030289000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,True,False,False,False,False,False,False,False,False
88,88,88,634259752467320000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,True,Agree,Agree,Agree,True,Female,31–35,Contract/casual,Under 1 Year,False,False,True,False,False,False,False,False,True,True
89,89,89,634260719918915000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Agree,Agree,Agree,True,Female,41–45,Temporary Full-time,Under 1 Year,False,True,False,False,False,False,False,False,True,False
90,90,90,634263394624001000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
91,91,91,634266079365634000,Non-Delivery (corporate),Resignation,False,True,True,False,False,False,False,False,False,,,,False,,,,NaN,False,False,True,False,False,False,True,False,False,False
92,92,92,634266938733603000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,31–35,Permanent Full-time,11 to 20 Years,False,True,False,False,False,False,False,False,False,False
93,93,93,634267725903290000,Delivery (teaching),Resignation,False,True,False,False,False,False,False,False,False,Disagree,Neutral,Neutral,False,Male,56+,Permanent Full-time,11 to 20 Years,False,False,True,False,False,False,False,False,False,False
94,94,94,634267873855009000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
95,95,95,634268423021657000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,False,Strongly Agree,Agree,Agree,False,Male,51-55,Contract/casual,Under 1 Year,False,False,False,False,False,False,False,False,False,False
96,96,96,634268446707283000,Non-Delivery (corporate),Resignation,False,True,False,False,False,True,False,True,False,Disagree,Agree,Agree,False,Female,31–35,Temporary Part-time,Under 1 Year,False,False,True,False,True,False,False,True,False,False
97,97,97,634268641051884000,Non-Delivery (corporate),Resignation,True,False,False,False,True,True,True,False,False,,,,False,,,,NaN,True,True,False,True,True,False,False,False,False,False
98,98,98,634269438105095000,Non-Delivery (corporate),Resignation,False,False,False,False,False,True,False,False,False,Disagree,Agree,Strongly Agree,True,Male,21–25,Contract/casual,1 to 2 Years,False,False,False,False,True,False,False,False,True,False
99,99,99,634272910039626000,Non-Delivery (corporate),Retirement,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,56+,Permanent Part-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
100,100,100,634273756721501000,Non-Delivery (corporate),Resignation,True,False,False,False,True,False,False,False,False,Strongly Disagree,Disagree,Disagree,False,Female,46–50,Permanent Full-time,5 to 6 Years,True,True,False,False,False,False,False,False,False,False
101,101,101,634274542281501000,Non-Delivery (corporate),Resignation,False,False,True,False,True,False,True,False,False,,,,False,,,,NaN,True,False,False,True,False,False,True,False,False,False
102,102,102,634274566132353000,Non-Delivery (corporate),Resignation,False,False,True,False,True,False,True,False,False,,,,False,,,,NaN,True,False,False,True,False,False,True,False,False,False
103,103,103,634275489048845000,Delivery (teaching),Resignation,False,False,False,True,True,True,True,False,False,Strongly Disagree,Agree,Agree,False,Female,36–40,Temporary Full-time,Under 1 Year,True,False,False,True,True,True,False,False,False,False
104,104,104,634280719819371000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Neutral,Agree,Neutral,False,Female,36–40,Permanent Full-time,11 to 20 Years,False,True,False,False,False,False,False,False,False,False
105,105,105,634281400568746000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Male,41–45,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,False,False
106,106,106,634281450090309000,Non-Delivery (corporate),Termination,False,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,True,Female,51-55,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,False,False,True,True
107,107,107,634284989401715000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Neutral,Disagree,False,Male,36–40,Contract/casual,Under 1 Year,False,False,True,False,False,False,False,False,False,False
108,108,108,634285674608023000,Delivery (teaching),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Male,41–45,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,False,False,False,False
109,109,109,634285909851304000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,True,False,Strongly Disagree,Agree,Strongly Agree,True,Female,26–30,Temporary Full-time,Under 1 Year,False,True,False,False,False,False,False,True,True,False
110,110,110,634285952710835000,Non-Delivery (corporate),Transfer,True,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,True,False,False,False,False,False,False,False,False
111,111,111,634286548594429000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
112,112,112,634286658782965000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
113,113,113,634297824199371000,Non-Delivery (corporate),Resignation,False,False,False,False,True,False,False,False,False,,,,False,,,,NaN,True,False,False,False,False,False,False,False,False,False
114,114,114,634298884567184000,Non-Delivery (corporate),Resignation,False,True,False,False,False,True,False,False,False,Agree,Disagree,Strongly Agree,False,Female,26–30,Permanent Full-time,7 to 10 Years,False,False,True,False,True,False,False,False,False,False
115,115,115,634304735958746000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Disagree,Disagree,Neutral,False,Male,21–25,Contract/casual,Under 1 Year,False,False,False,False,False,False,False,False,False,False
116,116,116,634309981362554000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,False,False,Agree,Neutral,Agree,False,Male,56+,Permanent Full-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
117,117,117,634310121282710000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Strongly Agree,False,Female,41–45,Temporary Part-time,Under 1 Year,False,False,False,False,False,False,False,False,False,False
118,118,118,634310942921246000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,Disagree,Neutral,Neutral,False,Male,41–45,Temporary Full-time,11 to 20 Years,False,False,False,False,False,False,False,False,False,False
119,119,119,634314358367965000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,True,True,Agree,Agree,Agree,False,Female,31–35,Temporary Full-time,Under 1 Year,False,False,False,False,False,False,False,True,False,True
120,120,120,634315046486772000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,True,Female,36–40,Contract/casual,1 to 2 Years,False,False,False,False,False,False,False,False,True,False
121,121,121,634316886387496000,Delivery (teaching),Resignation,False,True,False,True,False,False,False,False,False,Agree,Disagree,Disagree,False,Male,46–50,Permanent Full-time,3 to 4 Years,False,False,True,False,False,True,False,False,False,False
122,122,122,634317688380679000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,26–30,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,False,False
123,123,123,634317845042866000,Non-Delivery (corporate),Transfer,False,False,False,True,False,False,False,False,True,Neutral,Agree,Disagree,False,Female,56+,Permanent Full-time,5 to 6 Years,False,False,False,False,False,True,False,False,False,True
124,124,124,634322927651559000,Delivery (teaching),Resignation,False,False,False,False,False,True,False,False,False,Agree,Agree,Agree,False,Male,51-55,Temporary Full-time,Under 1 Year,False,False,False,False,True,False,False,False,False,False
125,125,125,634323115021460000,Delivery (teaching),Resignation,False,False,False,False,False,True,False,False,False,Agree,Agree,Agree,False,Male,51-55,Temporary Full-time,Under 1 Year,False,False,False,False,True,False,False,False,False,False
126,126,126,634323709021402000,Delivery (teaching),Resignation,False,False,False,False,False,True,False,False,False,Agree,Agree,Agree,False,Male,51-55,Temporary Full-time,Under 1 Year,False,False,False,False,True,False,False,False,False,False
127,127,127,634323732465523000,Delivery (teaching),Termination,False,False,False,False,False,False,False,False,False,Neutral,Strongly Disagree,Not Applicable,False,Female,46–50,Permanent Full-time,7 to 10 Years,False,False,False,False,False,False,False,False,False,False
128,128,128,634323806434371000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Strongly Disagree,Agree,Agree,False,Female,46–50,Contract/casual,3 to 4 Years,False,False,True,False,False,False,False,False,False,False
129,129,129,634326352243491000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,True,False,Agree,Agree,Agree,False,Female,21–25,Temporary Full-time,1 to 2 Years,False,False,True,False,False,False,False,True,False,False
130,130,130,634326378183960000,Non-Delivery (corporate),Resignation,False,False,False,True,False,False,False,False,False,,,,False,,,,NaN,False,False,False,False,False,True,False,False,False,False
