,record_id,job_position,leave_year,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years
36,634206210361383000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,Other,,,,,,,,,
37,634207964363344000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,
38,634207971987250000,Delivery (teaching),2010.0,Termination,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,
39,634208063783969000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
40,634208993864195000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,,,,,,Female,26 – 30,Temporary Part-time,Less than 1 year
41,634209003247164000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Female,36 – 40,Permanent Full-time,11-20
42,634209012525289000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,Disagree,,,Agree,Agree,Male,31 – 35,Permanent Full-time,3-4
43,634209019387633000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Disagree,Disagree,Agree,Agree,Agree,Male,56 or older,Permanent Full-time,More than 20 years
44,634209026016695000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Male,36 – 40,Permanent Full-time,11-20
45,634209027931539000,Delivery (teaching),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,Other,Disagree,Agree,,,,Male,51-55,Permanent Full-time,11-20
46,634209037420601000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,Other,Neutral,Neutral,Agree,Disagree,Agree,Female,56 or older,Permanent Part-time,More than 20 years
47,634211542757094000,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Male,31 – 35,Permanent Full-time,Less than 1 year
48,634212412239976000,Non-Delivery (corporate),2010.0,Transfer,Career Move - Public Sector,-,-,Maternity/Family,-,Job Dissatisfaction,-,-,Disagree,Agree,Neutral,Strongly Agree,Agree,Female,31 – 35,Permanent Part-time,7-10
49,634213196498570000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Male,56 or older,Permanent Full-time,3-4
50,634214004205914000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,
51,634214138447945000,Non-Delivery (corporate),2010.0,Resignation,,,,,,,,,,,,,,,,,
52,634214156864906000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Job Dissatisfaction,-,-,Agree,Disagree,Agree,Agree,Strongly Agree,Female,41 – 45,Permanent Full-time,3-4
53,634214849407633000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,,,,,,,,,
54,634217422828726000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,Other,,,,,,,,,
55,634218492665219000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,31 – 35,Temporary Full-time,Less than 1 year
56,634219251646781000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Female,26 – 30,Temporary Full-time,3-4
57,634219263224125000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Female,26 – 30,Permanent Full-time,3-4
58,634219274566469000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Female,56 or older,Permanent Full-time,3-4
59,634219394328258000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,
60,634219407445375000,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,Other,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Female,56 or older,Permanent Full-time,3-4
61,634219413623344000,Delivery (teaching),2009.0,Contract Expired,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,26 – 30,Permanent Full-time,3-4
62,634219425466156000,Non-Delivery (corporate),2009.0,Contract Expired,,,,,,,,,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Female,51-55,Permanent Full-time,11-20
63,634220006275757000,Non-Delivery (corporate),2009.0,Resignation,-,-,-,-,-,-,-,Other,Agree,Agree,Agree,Agree,Neutral,Male,51-55,Permanent Full-time,3-4
64,634220145175757000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,Disagree,Neutral,Agree,Agree,Neutral,Male,46 – 50,Permanent Full-time,11-20
65,634221044292008000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,Other,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Female,21 – 25,Permanent Full-time,Less than 1 year
66,634223513490601000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Maternity/Family,-,-,-,-,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Female,31 – 35,Temporary Full-time,1-2
67,634224469051226000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Female,31 – 35,Temporary Full-time,Less than 1 year
68,634225251664195000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,,,,
69,634226171903257000,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Neutral,Agree,Agree,Agree,Strongly Agree,Male,51-55,Permanent Full-time,3-4
70,634227157286851000,Non-Delivery (corporate),2010.0,Transfer,-,-,-,-,-,Job Dissatisfaction,-,-,,,Strongly Agree,Agree,Strongly Disagree,Female,51-55,Permanent Full-time,3-4
71,634227185069750000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Disagree,Neutral,Neutral,Neutral,Neutral,Female,36 – 40,Permanent Full-time,7-10
72,634227207368969000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,Other,Disagree,Neutral,Disagree,Disagree,Agree,Female,51-55,Permanent Full-time,5-6
73,634227222513344000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,41 – 45,Contract/casual,Less than 1 year
74,634231466668883000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Agree,Disagree,Agree,Neutral,Strongly Disagree,Female,20 or younger,Temporary Full-time,Less than 1 year
75,634232185219039000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,Neutral,Agree,Neutral,Agree,Agree,,,,
76,634235863003594000,Delivery (teaching),2010.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,Disagree,Agree,Disagree,Strongly Disagree,Agree,Female,51-55,Temporary Full-time,3-4
77,634238426001094000,Non-Delivery (corporate),2010.0,Retrenchment/ Redundancy,,,,,,,,,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Female,51-55,Temporary Full-time,1-2
78,634239303982500000,Non-Delivery (corporate),2010.0,Transfer,-,-,Ill Health,-,-,-,-,-,Agree,Agree,Agree,Agree,Neutral,Female,31 – 35,Temporary Full-time,1-2
79,634241795347656000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Disagree,Neutral,Agree,Neutral,Disagree,Male,41 – 45,Contract/casual,Less than 1 year
80,634243628858726000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,Other,Agree,Agree,Agree,Agree,Agree,Female,46 – 50,Permanent Full-time,7-10
81,634243664081406000,Delivery (teaching),2010.0,Resignation,-,-,-,Maternity/Family,-,-,-,-,Neutral,Agree,Agree,Neutral,Agree,Male,41 – 45,Temporary Part-time,5-6
82,634245133689063000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,41 – 45,Permanent Full-time,5-6
83,634250266309976000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Female,20 or younger,Contract/casual,Less than 1 year
84,634250409172945000,Delivery (teaching),2010.0,Resignation,-,-,-,Maternity/Family,-,-,-,-,Disagree,Strongly Agree,Neutral,Neutral,Agree,Female,56 or older,Contract/casual,3-4
85,634251116016226000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Disagree,Agree,Agree,Neutral,Neutral,Female,26 – 30,Permanent Full-time,7-10
86,634251290130132000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,Ill Health,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Female,41 – 45,Permanent Part-time,3-4
87,634257448030289000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,,,,,,,,,
88,634259752467320000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Female,31 – 35,Contract/casual,Less than 1 year
89,634260719918915000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Neutral,Agree,Agree,Agree,Strongly Agree,Female,41 – 45,Temporary Full-time,Less than 1 year
90,634263394624001000,Non-Delivery (corporate),,Contract Expired,,,,,,,,,,,,,,,,,
91,634266079365634000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,Ill Health,-,-,-,-,-,,,,,,,,,
92,634266938733603000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Female,31 – 35,Permanent Full-time,11-20
93,634267725903290000,Delivery (teaching),,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Disagree,Neutral,Neutral,Neutral,Male,56 or older,Permanent Full-time,11-20
94,634267873855009000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,,,,,,,,,
95,634268423021657000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,Neutral,Strongly Agree,Agree,Agree,Agree,Male,51-55,Contract/casual,Less than 1 year
96,634268446707283000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Job Dissatisfaction,-,Other,Disagree,Disagree,Agree,Agree,Strongly Disagree,Female,31 – 35,Temporary Part-time,Less than 1 year
97,634268641051884000,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,,,,,,,,,
98,634269438105095000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Male,21 – 25,Contract/casual,1-2
99,634272910039626000,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Female,56 or older,Permanent Part-time,11-20
100,634273756721501000,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Female,46 – 50,Permanent Full-time,5-6
101,634274542281501000,Non-Delivery (corporate),2010.0,Resignation,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,,,,,,,,,
102,634274566132353000,Non-Delivery (corporate),2010.0,Resignation,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,,,,,,,,,
103,634275489048845000,Delivery (teaching),2010.0,Resignation,-,-,-,Maternity/Family,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Female,36 – 40,Temporary Full-time,Less than 1 year
104,634280719819371000,Non-Delivery (corporate),,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Agree,Neutral,Agree,Neutral,Neutral,Female,36 – 40,Permanent Full-time,11-20
105,634281400568746000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Male,41 – 45,Permanent Full-time,3-4
106,634281450090309000,Non-Delivery (corporate),2010.0,Termination,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,51-55,Temporary Full-time,1-2
107,634284989401715000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Neutral,Disagree,Agree,Male,36 – 40,Contract/casual,Less than 1 year
108,634285674608023000,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,Strongly Disagree,Agree,Agree,Agree,Agree,Male,41 – 45,Temporary Full-time,1-2
109,634285909851304000,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,Other,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Female,26 – 30,Temporary Full-time,Less than 1 year
110,634285952710835000,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,,,,,,,,,
111,634286548594429000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,
112,634286658782965000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,
113,634297824199371000,Non-Delivery (corporate),,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,,,,,,,,,
114,634298884567184000,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,Job Dissatisfaction,-,-,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Female,26 – 30,Permanent Full-time,7-10
115,634304735958746000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Agree,Male,21 – 25,Contract/casual,Less than 1 year
116,634309981362554000,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,Neutral,Agree,Neutral,Agree,Agree,Male,56 or older,Permanent Full-time,11-20
117,634310121282710000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Strongly Agree,Agree,Female,41 – 45,Temporary Part-time,Less than 1 year
118,634310942921246000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Neutral,Disagree,Neutral,Neutral,Neutral,Male,41 – 45,Temporary Full-time,11-20
119,634314358367965000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,Other,Strongly Agree,Agree,Agree,Agree,Agree,Female,31 – 35,Temporary Full-time,Less than 1 year
120,634315046486772000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,36 – 40,Contract/casual,1-2
121,634316886387496000,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,Maternity/Family,-,-,-,-,Agree,Agree,Disagree,Disagree,Disagree,Male,46 – 50,Permanent Full-time,3-4
122,634317688380679000,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Female,26 – 30,Permanent Full-time,3-4
123,634317845042866000,Non-Delivery (corporate),2011.0,Transfer,-,-,-,Maternity/Family,-,-,-,-,Strongly Agree,Neutral,Agree,Disagree,Neutral,Female,56 or older,Permanent Full-time,5-6
124,634322927651559000,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Neutral,Agree,Agree,Agree,Disagree,Male,51-55,Temporary Full-time,Less than 1 year
125,634323115021460000,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Neutral,Agree,Agree,Agree,Disagree,Male,51-55,Temporary Full-time,Less than 1 year
126,634323709021402000,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Job Dissatisfaction,-,-,Neutral,Agree,Agree,Agree,Disagree,Male,51-55,Temporary Full-time,Less than 1 year
127,634323732465523000,Delivery (teaching),2011.0,Termination,,,,,,,,,Not Applicable,Neutral,Strongly Disagree,Not Applicable,Agree,Female,46 – 50,Permanent Full-time,7-10
128,634323806434371000,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Strongly Disagree,Agree,Agree,Agree,Female,46 – 50,Contract/casual,3-4
129,634326352243491000,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,Other,Neutral,Agree,Agree,Agree,Agree,Female,21 – 25,Temporary Full-time,1-2
130,634326378183960000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,Maternity/Family,-,-,-,-,,,,,,,,,
131,634326454148590000,Non-Delivery (corporate),2011.0,Resignation,-,-,Ill Health,-,-,-,-,Other,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Female,41 – 45,Temporary Part-time,1-2
132,634328087765991000,Non-Delivery (corporate),2011.0,Resignation,-,-,Ill Health,-,-,-,-,-,Strongly Agree,Strongly Agree,Not Applicable,Neutral,Strongly Agree,Female,51-55,Temporary Part-time,Less than 1 year
133,634328171329844000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Disagree,Strongly Disagree,Agree,Disagree,Agree,Female,36 – 40,Temporary Full-time,3-4
134,634328202850835000,Delivery (teaching),2011.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Female,51-55,Temporary Full-time,3-4
135,634328288440210000,Delivery (teaching),,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,,,,,,,,,
136,634329804601719000,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Male,46 – 50,Permanent Full-time,5-6
137,634329959592554000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Male,21 – 25,Permanent Full-time,3-4
138,634333279253906000,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Disagree,,,,,,,,
139,634333408714687000,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,Disagree,Disagree,Agree,Agree,Agree,Female,51-55,Permanent Full-time,11-20
140,634335805202554000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,Strongly Agree,Strongly Agree,,,Female,41 – 45,Temporary Full-time,3-4
141,634340388349585000,Non-Delivery (corporate),2011.0,Retirement,-,-,Ill Health,-,-,-,Interpersonal Conflict,-,Neutral,Agree,Disagree,Neutral,Agree,Female,51-55,Permanent Full-time,More than 20 years
142,634340978789585000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Female,31 – 35,Contract/casual,Less than 1 year
143,634344511160937000,Delivery (teaching),2011.0,Retirement,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Disagree,Neutral,Neutral,Neutral,Disagree,Male,56 or older,Permanent Full-time,More than 20 years
144,634345415831406000,Delivery (teaching),2011.0,Transfer,Career Move - Public Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,,,,,,,,,
145,634346271723281000,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Neutral,Disagree,Agree,Agree,Agree,Male,31 – 35,Temporary Full-time,1-2
146,634346401168125000,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Male,31 – 35,Temporary Full-time,Less than 1 year
