,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years,service_years_x
35,36,teaching_role,Ill Health Retirement,False,False,True,False,True,False,False,False,False,False,False,False,False,Female,51-55,Special Education,11 to 20 Years,11 to 20 Years
36,37,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,11 to 20 Years,11 to 20 Years
37,38,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,1 to 2 Years,1 to 2 Years
38,39,teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,,11 to 20 Years,11 to 20 Years
39,40,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,21-25,,NaN,NaN
40,41,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,Primary,20 Plus Years,20 Plus Years
41,42,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,True,False,Female,51-55,,11 to 20 Years,11 to 20 Years
42,43,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,,1 to 2 Years,1 to 2 Years
43,44,teaching_role,Resignation-Other reasons,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,51-55,Primary,20 Plus Years,20 Plus Years
44,45,teaching_role,Age Retirement,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,51-55,Primary,20 Plus Years,20 Plus Years
45,46,teaching_role,Voluntary Early Retirement (VER),False,False,True,False,False,False,False,False,False,False,True,True,False,Female,46-50,Primary,11 to 20 Years,11 to 20 Years
46,47,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,3 to 4 Years,3 to 4 Years
47,48,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,Secondary,11 to 20 Years,11 to 20 Years
48,49,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,1 to 2 Years,1 to 2 Years
49,50,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,Primary,5 to 6 Years,5 to 6 Years
50,51,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,1 to 2 Years,1 to 2 Years
51,52,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,11 to 20 Years,11 to 20 Years
52,53,teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Secondary,20 Plus Years,20 Plus Years
53,54,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,NaN,NaN
54,55,teaching_role,Age Retirement,False,False,True,False,False,True,False,False,True,False,False,False,False,Female,56+,Special Education,3 to 4 Years,3 to 4 Years
55,56,teaching_role,Resignation-Other employer,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,,3 to 4 Years,3 to 4 Years
56,57,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,,20 Plus Years,20 Plus Years
57,58,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,Secondary,Under 1 Year,Under 1 Year
58,59,teaching_role,Ill Health Retirement,False,False,True,False,False,True,False,False,False,False,True,False,False,Female,51-55,Primary,Under 1 Year,Under 1 Year
59,60,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,,56+,Primary,NaN,NaN
60,61,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,46-50,Primary,20 Plus Years,20 Plus Years
61,62,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,1 to 2 Years,1 to 2 Years
62,63,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
63,64,non_teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,True,False,True,Male,56+,,20 Plus Years,20 Plus Years
64,65,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,56+,Primary,20 Plus Years,20 Plus Years
65,66,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
66,67,teaching_role,Other,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,Secondary,5 to 6 Years,5 to 6 Years
67,68,teaching_role,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,NaN,NaN
68,69,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,True,False,False,False,False,,56+,Primary,5 to 6 Years,5 to 6 Years
69,70,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,AO5-AO7,NaN,NaN
70,71,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,Secondary,20 Plus Years,20 Plus Years
71,72,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,1 to 2 Years,1 to 2 Years
72,73,teaching_role,Age Retirement,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,,NaN,NaN
73,74,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,AO5-AO7,1 to 2 Years,1 to 2 Years
74,75,teaching_role,Age Retirement,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,56+,Primary,20 Plus Years,20 Plus Years
75,76,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,A01-A04,Under 1 Year,Under 1 Year
76,77,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,Primary,1 to 2 Years,1 to 2 Years
77,78,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,AO5-AO7,5 to 6 Years,5 to 6 Years
78,79,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,AO5-AO7,Under 1 Year,Under 1 Year
79,80,non_teaching_role,Termination,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,AO5-AO7,1 to 2 Years,1 to 2 Years
80,81,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,AO5-AO7,7 to 10 Years,7 to 10 Years
81,82,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,1 to 2 Years,1 to 2 Years
82,83,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,True,False,True,False,False,False,False,Female,51-55,,1 to 2 Years,1 to 2 Years
83,84,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,A01-A04,Under 1 Year,Under 1 Year
84,85,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,AO5-AO7,1 to 2 Years,1 to 2 Years
85,86,teaching_role,Age Retirement,False,False,False,False,True,False,False,False,True,False,True,False,False,Male,56+,,20 Plus Years,20 Plus Years
86,87,non_teaching_role,Termination,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,A01-A04,1 to 2 Years,1 to 2 Years
87,88,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,Secondary,5 to 6 Years,5 to 6 Years
88,89,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46-50,AO5-AO7,1 to 2 Years,1 to 2 Years
89,90,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,Primary,20 Plus Years,20 Plus Years
90,91,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,20 Plus Years,20 Plus Years
91,92,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Male,56+,Primary,20 Plus Years,20 Plus Years
92,93,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,3 to 4 Years,3 to 4 Years
93,94,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,41-45,Secondary,7 to 10 Years,7 to 10 Years
94,95,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,Primary,20 Plus Years,20 Plus Years
95,96,teaching_role,Age Retirement,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,Primary,3 to 4 Years,3 to 4 Years
96,97,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,Primary,3 to 4 Years,3 to 4 Years
97,98,NaN,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,11 to 20 Years,11 to 20 Years
98,99,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,,7 to 10 Years,7 to 10 Years
99,100,teaching_role,Resignation-Move overseas/interstate,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,31-35,Secondary,1 to 2 Years,1 to 2 Years
100,101,teaching_role,Resignation-Other reasons,False,False,False,False,True,True,False,False,False,False,False,True,False,Female,36-40,,3 to 4 Years,3 to 4 Years
101,102,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Primary,11 to 20 Years,11 to 20 Years
102,103,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Primary,5 to 6 Years,5 to 6 Years
103,104,NaN,Resignation-Other reasons,False,False,False,False,True,True,False,False,True,False,False,False,False,Female,51-55,,3 to 4 Years,3 to 4 Years
104,105,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
105,106,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,,11 to 20 Years,11 to 20 Years
106,107,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,46-50,,NaN,NaN
107,108,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,Special Education,7 to 10 Years,7 to 10 Years
108,109,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,3 to 4 Years,3 to 4 Years
109,110,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,A01-A04,NaN,NaN
110,111,teaching_role,Ill Health Retirement,False,False,True,False,False,True,False,False,False,False,False,True,False,Female,56+,Primary,11 to 20 Years,11 to 20 Years
111,112,teaching_role,Resignation-Other reasons,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,Special Education,7 to 10 Years,7 to 10 Years
112,113,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,,5 to 6 Years,5 to 6 Years
113,114,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,3 to 4 Years,3 to 4 Years
114,115,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,,7 to 10 Years,7 to 10 Years
115,116,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,Secondary,NaN,NaN
116,117,NaN,Resignation-Other reasons,False,False,False,False,True,False,True,False,True,False,False,False,False,Male,56+,,20 Plus Years,20 Plus Years
117,118,teaching_role,Ill Health Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
118,119,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,Secondary,1 to 2 Years,1 to 2 Years
119,120,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,AO5-AO7,1 to 2 Years,1 to 2 Years
120,121,non_teaching_role,Termination,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,26-30,AO5-AO7,3 to 4 Years,3 to 4 Years
121,122,non_teaching_role,Contract Expired,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,A01-A04,NaN,NaN
122,123,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,Secondary,20 Plus Years,20 Plus Years
123,124,non_teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,NaN,NaN
124,125,non_teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,A01-A04,Under 1 Year,Under 1 Year
125,126,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,20 Plus Years,20 Plus Years
126,127,teaching_role,Resignation-Other reasons,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,Secondary,20 Plus Years,20 Plus Years
127,128,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,Primary,20 Plus Years,20 Plus Years
128,129,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,11 to 20 Years,11 to 20 Years
129,130,teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,11 to 20 Years,11 to 20 Years
130,131,non_teaching_role,Resignation-Other employer,True,False,False,False,False,True,False,False,False,True,False,False,False,Male,51-55,AO5-AO7,Under 1 Year,Under 1 Year
131,132,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,11 to 20 Years,11 to 20 Years
132,133,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,,1 to 2 Years,1 to 2 Years
133,134,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,NaN,NaN
134,135,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,,20 Plus Years,20 Plus Years
135,136,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,11 to 20 Years,11 to 20 Years
136,137,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,NaN,NaN
137,138,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,11 to 20 Years,11 to 20 Years
138,139,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,7 to 10 Years,7 to 10 Years
139,140,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,Secondary,11 to 20 Years,11 to 20 Years
140,141,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,NaN,NaN
141,142,teaching_role,Age Retirement,False,False,True,False,False,False,False,False,False,False,True,True,False,Male,56+,Primary,NaN,NaN
142,143,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,3 to 4 Years,3 to 4 Years
143,144,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,NaN,NaN
144,145,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56+,Primary,20 Plus Years,20 Plus Years
145,146,non_teaching_role,Resignation-Other reasons,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,,5 to 6 Years,5 to 6 Years
146,147,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Primary,NaN,NaN
147,148,non_teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,A01-A04,7 to 10 Years,7 to 10 Years
148,149,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,11 to 20 Years,11 to 20 Years
149,150,non_teaching_role,Other,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,26-30,A01-A04,3 to 4 Years,3 to 4 Years
150,151,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,A01-A04,3 to 4 Years,3 to 4 Years
151,152,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,,NaN,NaN
152,153,non_teaching_role,Other,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,36-40,AO5-AO7,Under 1 Year,Under 1 Year
153,154,non_teaching_role,Termination,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,AO5-AO7,3 to 4 Years,3 to 4 Years
154,155,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56+,AO5-AO7,7 to 10 Years,7 to 10 Years
155,156,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,True,False,False,False,Female,21-25,A01-A04,1 to 2 Years,1 to 2 Years
156,157,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,,1 to 2 Years,1 to 2 Years
157,158,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,AO5-AO7,1 to 2 Years,1 to 2 Years
158,159,non_teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,A01-A04,1 to 2 Years,1 to 2 Years
159,160,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Primary,20 Plus Years,20 Plus Years
160,161,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,,7 to 10 Years,7 to 10 Years
161,162,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,AO5-AO7,7 to 10 Years,7 to 10 Years
162,163,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,A01-A04,3 to 4 Years,3 to 4 Years
163,164,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,PO1-PO4,7 to 10 Years,7 to 10 Years
164,165,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,,3 to 4 Years,3 to 4 Years
165,166,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,AO5-AO7,3 to 4 Years,3 to 4 Years
166,167,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,AO5-AO7,7 to 10 Years,7 to 10 Years
167,168,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,AO5-AO7,1 to 2 Years,1 to 2 Years
168,169,non_teaching_role,Other,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,56+,AO5-AO7,3 to 4 Years,3 to 4 Years
169,170,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,Secondary,NaN,NaN
170,171,non_teaching_role,Other,False,False,False,False,False,True,True,False,False,False,True,True,False,Female,46-50,AO8 and Above,3 to 4 Years,3 to 4 Years
171,172,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,True,False,False,False,False,Male,46-50,PO1-PO4,11 to 20 Years,11 to 20 Years
172,173,non_teaching_role,Other,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,A01-A04,3 to 4 Years,3 to 4 Years
173,174,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,AO8 and Above,5 to 6 Years,5 to 6 Years
174,175,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,A01-A04,5 to 6 Years,5 to 6 Years
175,176,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,True,False,False,False,False,False,True,False,False,False,Female,26-30,A01-A04,5 to 6 Years,5 to 6 Years
176,177,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,,26-30,A01-A04,3 to 4 Years,3 to 4 Years
177,178,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,Under 1 Year,Under 1 Year
178,179,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,True,False,False,False,False,True,False,False,False,Male,41-45,A01-A04,1 to 2 Years,1 to 2 Years
179,180,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,,Under 1 Year,Under 1 Year
180,181,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,Under 1 Year,Under 1 Year
181,182,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,A01-A04,1 to 2 Years,1 to 2 Years
182,183,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,PO1-PO4,1 to 2 Years,1 to 2 Years
183,184,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,11 to 20 Years,11 to 20 Years
184,185,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,A01-A04,5 to 6 Years,5 to 6 Years
185,186,non_teaching_role,Resignation-Other reasons,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,,7 to 10 Years,7 to 10 Years
186,187,non_teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,AO5-AO7,5 to 6 Years,5 to 6 Years
187,188,non_teaching_role,Voluntary Early Retirement (VER),False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,AO5-AO7,3 to 4 Years,3 to 4 Years
